document_id,title,category,department,version,status,effective_date,review_date,owner,supersedes,precedence_level,pack_folder,is_adversarial,pdf_file,docx_file,markdown_file
CMP-01,Mandatory Compliance Training Requirements,Compliance,Compliance,2.0,Active,2026-07-01,2027-06-30,Head of Compliance,CMP-01 v1.0,2,active,No,documents/active/pdf/CMP-01_v2.0_Mandatory_Compliance_Training_Requirements.pdf,documents/active/docx/CMP-01_v2.0_Mandatory_Compliance_Training_Requirements.docx,markdown_source/active/CMP-01_v2.0_Mandatory_Compliance_Training_Requirements.md
FAQ-01,HR and Leave FAQ,FAQ,Human Resources,1.0,Active,2025-08-15,2026-08-14,HR Service Desk,None,7,active,No,documents/active/pdf/FAQ-01_v1.0_HR_and_Leave_FAQ.pdf,documents/active/docx/FAQ-01_v1.0_HR_and_Leave_FAQ.docx,markdown_source/active/FAQ-01_v1.0_HR_and_Leave_FAQ.md
FAQ-02,IT and Security FAQ,FAQ,Information Technology,1.0,Active,2025-06-10,2026-06-09,IT Service Desk,None,7,active,No,documents/active/pdf/FAQ-02_v1.0_IT_and_Security_FAQ.pdf,documents/active/docx/FAQ-02_v1.0_IT_and_Security_FAQ.docx,markdown_source/active/FAQ-02_v1.0_IT_and_Security_FAQ.md
POL-01,Employee Handbook,Handbook,Human Resources,1.0,Active,2025-07-01,2026-12-31,Head of Human Resources,None,4,active,No,documents/active/pdf/POL-01_v1.0_Employee_Handbook.pdf,documents/active/docx/POL-01_v1.0_Employee_Handbook.docx,markdown_source/active/POL-01_v1.0_Employee_Handbook.md
POL-02,HR Policy,Policy,Human Resources,2.0,Active,2026-01-01,2027-12-31,Head of Human Resources,POL-02 v1.0,1,active,No,documents/active/pdf/POL-02_v2.0_HR_Policy.pdf,documents/active/docx/POL-02_v2.0_HR_Policy.docx,markdown_source/active/POL-02_v2.0_HR_Policy.md
POL-03,Leave Policy,Policy,Human Resources,2.0,Active,2026-04-01,2027-03-31,Head of Human Resources,POL-03 v1.0,1,active,No,documents/active/pdf/POL-03_v2.0_Leave_Policy.pdf,documents/active/docx/POL-03_v2.0_Leave_Policy.docx,markdown_source/active/POL-03_v2.0_Leave_Policy.md
POL-04,Information Security Policy,Policy,Information Technology,2.0,Active,2026-03-01,2027-02-28,Chief Information Security Officer,POL-04 v1.0,1,active,No,documents/active/pdf/POL-04_v2.0_Information_Security_Policy.pdf,documents/active/docx/POL-04_v2.0_Information_Security_Policy.docx,markdown_source/active/POL-04_v2.0_Information_Security_Policy.md
POL-05,Workplace Conduct Policy,Policy,Human Resources,1.0,Active,2025-09-01,2027-08-31,Head of Human Resources,None,1,active,No,documents/active/pdf/POL-05_v1.0_Workplace_Conduct_Policy.pdf,documents/active/docx/POL-05_v1.0_Workplace_Conduct_Policy.docx,markdown_source/active/POL-05_v1.0_Workplace_Conduct_Policy.md
POL-06,Data Privacy Policy,Policy,Compliance,2.0,Active,2026-05-01,2027-04-30,Head of Compliance,POL-06 v1.0,1,active,No,documents/active/pdf/POL-06_v2.0_Data_Privacy_Policy.pdf,documents/active/docx/POL-06_v2.0_Data_Privacy_Policy.docx,markdown_source/active/POL-06_v2.0_Data_Privacy_Policy.md
POL-07,AML and KYC Compliance Policy,Policy,Compliance,2.0,Active,2026-02-01,2027-01-31,Head of Compliance,POL-07 v1.0,1,active,No,documents/active/pdf/POL-07_v2.0_AML_and_KYC_Compliance_Policy.pdf,documents/active/docx/POL-07_v2.0_AML_and_KYC_Compliance_Policy.docx,markdown_source/active/POL-07_v2.0_AML_and_KYC_Compliance_Policy.md
POL-08,Fraud Prevention and Whistleblowing Policy,Policy,Compliance,1.0,Active,2025-11-01,2027-10-31,Head of Compliance,None,1,active,No,documents/active/pdf/POL-08_v1.0_Fraud_Prevention_and_Whistleblowing_Policy.pdf,documents/active/docx/POL-08_v1.0_Fraud_Prevention_and_Whistleblowing_Policy.docx,markdown_source/active/POL-08_v1.0_Fraud_Prevention_and_Whistleblowing_Policy.md
