requirement_id,document_id,document_title,document_version,document_category,section_id,section_heading,requirement_text,obligation,requirement_type,applicable_roles,role_scope,competency,priority,due_stage,assessment_requirement,prerequisite,precedence_level,conflict_status,duplicate_of,include_in_active_matrix
POL-01-2.1,POL-01,Employee Handbook,1.0,Handbook,2.1,Joining Formalities,Every new employee must sign the Employee Handbook acknowledgement form on Day 1.,Mandatory,Must Acknowledge,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Joining Formalities,High,Day 1,Signed Acknowledgement,,4,,,Yes
POL-01-2.2,POL-01,Employee Handbook,1.0,Handbook,2.2,Joining Formalities,New employees must submit copies of their educational certificates to HR within the first week of joining.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Joining Formalities,Medium,Week 1,Knowledge Quiz,,4,,,Yes
POL-01-2.3,POL-01,Employee Handbook,1.0,Handbook,2.3,Joining Formalities,New employees must collect their employee ID card from the HR desk on Day 1.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Joining Formalities,High,Day 1,Knowledge Quiz,,4,,,Yes
POL-01-2.4,POL-01,Employee Handbook,1.0,Handbook,2.4,Joining Formalities,New employees should meet their reporting manager within the first week of joining to agree on role expectations.,Recommended,Recommended,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Joining Formalities,Low,Week 1,None,,4,,,Yes
POL-01-3.2,POL-01,Employee Handbook,1.0,Handbook,3.2,Working Hours and Attendance,Employees must record attendance using the biometric system at the start and end of each working day.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Working Hours and Attendance,Medium,Week 1,Knowledge Quiz,,4,,,Yes
POL-01-3.3,POL-01,Employee Handbook,1.0,Handbook,3.3,Working Hours and Attendance,Employees may request flexible timing with written approval from their reporting manager.,Optional,Optional,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Working Hours and Attendance,Low,Week 1,None,,4,,,Yes
POL-01-4.1,POL-01,Employee Handbook,1.0,Handbook,4.1,Dress Code,Employees must follow the business formal dress code on all customer-facing days.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Dress Code,Medium,Week 1,Knowledge Quiz,,4,,,Yes
POL-01-4.2,POL-01,Employee Handbook,1.0,Handbook,4.2,Dress Code,Employees should refer to the Workplace Conduct Policy (POL-05) for detailed behavioural standards.,Recommended,Recommended,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Dress Code,Low,Week 1,None,,4,,,Yes
POL-01-5.1,POL-01,Employee Handbook,1.0,Handbook,5.1,Use of Bank Resources,Employees must use bank equipment only for official purposes.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Use of Bank Resources,Medium,Week 1,Knowledge Quiz,,4,,,Yes
POL-01-5.2,POL-01,Employee Handbook,1.0,Handbook,5.2,Use of Bank Resources,Employees may use the staff cafeteria and prayer rooms during scheduled breaks.,Optional,Optional,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Use of Bank Resources,Low,Week 1,None,,4,,,Yes
