document_id,version,status,effective_date,superseded_on,superseded_by,changed_sections,change_summary
POL-02,1.0,Superseded,2024-07-01,2026-01-01,POL-02 v2.0,2.3; 3.1,
POL-02,2.0,Active,2026-01-01,,,2.3; 3.1,Probation leave changed from none to 5 casual days; working hours extended from 5:00 PM to 6:00 PM.
POL-03,1.0,Superseded,2025-01-01,2026-04-01,POL-03 v2.0,2.2; 4.1,
POL-03,2.0,Active,2026-04-01,,,2.2; 4.1,Annual leave notice increased from 7 to 14 days; mandatory leave increased from 3 to 5 consecutive days.
POL-04,1.0,Superseded,2025-02-01,2026-03-01,POL-04 v2.0,3.1; 3.2,
POL-04,2.0,Active,2026-03-01,,,3.1; 3.2,Minimum password length increased from 8 to 12; password change cycle reduced from 90 to 60 days.
POL-06,1.0,Superseded,2024-10-01,2026-05-01,POL-06 v2.0,4.1; 5.1,
POL-06,2.0,Active,2026-05-01,,,4.1; 5.1,Retention period increased from 7 to 10 years; breach reporting reduced from 24 hours to 2 hours.
POL-07,1.0,Superseded,2025-03-01,2026-02-01,POL-07 v2.0,2.1; 5.1,
POL-07,2.0,Active,2026-02-01,,,2.1; 5.1,AML training deadline reduced from 30 to 14 days; large-cash approval threshold reduced from PKR 2.5M to PKR 2M.
SOP-02,1.0,Superseded,2025-05-01,2026-06-15,SOP-02 v2.0,2.2; 3.1,
SOP-02,2.0,Active,2026-06-15,,,2.2; 3.1,Complaint escalation reduced from 48 to 24 hours; outage escalation reduced from 30 to 15 minutes.
SOP-03,1.0,Superseded,2025-01-15,2026-02-15,SOP-03 v2.0,2.3; 3.2,
SOP-03,2.0,Active,2026-02-15,,,2.3; 3.2,Paper signature replaced by digital photo and signature capture; approval time reduced from 2 days to 1 day.
SOP-04,1.0,Superseded,2025-04-01,2026-04-15,SOP-04 v2.0,2.1; 3.3,
SOP-04,2.0,Active,2026-04-15,,,2.1; 3.3,Teller drawer limit reduced from PKR 2M to PKR 1.5M; vault reconciliation changed from weekly to daily.
SOP-05,1.0,Superseded,2025-06-01,2026-05-15,SOP-05 v2.0,4.1; 4.3,
SOP-05,2.0,Active,2026-05-15,,,4.1; 4.3,P1 acknowledgement reduced from 30 to 15 minutes; access fulfilment reduced from 5 to 3 working days.
CMP-01,1.0,Superseded,2025-07-01,2026-07-01,CMP-01 v2.0,2.5; 3.1,
CMP-01,2.0,Active,2026-07-01,,,2.5; 3.1,Pass mark increased from 60% to 70%; AML deadline changed from 45 to 30 days.
