case_id,type,statement_a,statement_b,precedence_rule,prevailing_source,expected_app_behaviour
C01,Policy version change + outdated FAQ,POL-03 v1.0 §2.2 and FAQ-01 §2.1: annual leave notice 7 days,POL-03 v2.0 §2.2: annual leave notice 14 days,Latest active version wins; Policy > FAQ,POL-03 v2.0 §2.2,Use 14 days. Flag FAQ-01 §2.1 and POL-03 v1.0 as outdated.
C02,FAQ contradicts policy,FAQ-01 §1.1: no paid leave during probation,POL-02 v2.0 §2.3: up to 5 casual leave days during probation,Policy > FAQ,POL-02 v2.0 §2.3,Use policy; flag FAQ statement as contradiction.
C03,FAQ contradicts policy,FAQ-02 §1.1: change password every 90 days,POL-04 v2.0 §3.2: change password every 60 days,Policy > FAQ,POL-04 v2.0 §3.2,Use 60 days; FAQ requirement excluded from matrix.
C04,SOP contradicts SOP,SOP-01 v1.0 §3.3: escalate unresolved complaints after 48 hours,SOP-02 v2.0 §2.2: escalate within 24 hours,Same level: later effective date wins,SOP-02 v2.0 §2.2,Use 24 hours; mark SOP-01 §3.3 overridden.
C05,Role description contradicts SOP,"RD-01 §3.3: Sales Executive may approve accounts up to PKR 500,000",SOP-03 v2.0 §3.1: every new account needs Branch Manager approval,SOP > Role Description,SOP-03 v2.0 §3.1,Never generate a task allowing Sales Executives to self-approve accounts.
C06,Handbook contradicts policy,POL-01 §3.1: office hours 9:00 AM to 5:00 PM,POL-02 v2.0 §3.1: working hours 9:00 AM to 6:00 PM,Policy > Handbook,POL-02 v2.0 §3.1,Use 6:00 PM; flag handbook as needing update.
C07,FAQ contradicts policy,FAQ-02 §2.1: personal USB allowed if scanned,POL-04 v2.0 §4.1: personal USB drives must not be connected,Policy > FAQ,POL-04 v2.0 §4.1,USB prohibited; FAQ requirement excluded from matrix.
C08,Compliance document contradicts newer-dated policy,CMP-01 v2.0 §3.1 (effective 2026-07-01): AML within 30 days,POL-07 v2.0 §2.1 (effective 2026-02-01): AML within 14 days,Document category precedence beats recency (Policy > Compliance document),POL-07 v2.0 §2.1,Use 14 days even though CMP-01 is newer.
C09,FAQ contradicts policy deadline,FAQ-01 §8.1: all mandatory modules within 60 days,POL-02 v2.0 §2.2: before end of probation (90 days),Policy > FAQ,POL-02 v2.0 §2.2,Use end of probation; FAQ requirement excluded.
C10,Ambiguous timing,FAQ-02 §5.1 and PRC-01 §2.2: laptop and system access on Day 1,SOP-05 v2.0 §2.2: access fulfilled within 3 working days of approval,SOP > Process Manual > FAQ; ambiguity remains,SOP-05 v2.0 §2.2,Do not schedule system-dependent tasks on Day 1; route to manual review.
C11,Missing referenced document,SOP-07 §2.1 references Brand Guidelines (MKT-GD-01),Document not present in pack,Missing source,None,Flag as Source Support Missing; do not invent brand rules.
C12,Missing referenced document,SOP-08 §2.3 references the IT Tools Catalogue,Document not present in pack,Missing source,None,Flag as Source Support Missing; do not invent a tools list.
C13,General vs specific rule (not a conflict),CMP-01 v2.0 §2.5: pass mark 70% for all modules,POL-07 v2.0 §2.2: AML pass mark 80%,Specific rule applies to its scope,Both valid,AML assessment uses 80%; others 70%. Should not be flagged as contradiction.
C14,Sequencing ambiguity,SOP-04 v2.0 §6.1: demonstrate cash drawer balancing in Week 1,PRC-01 §6.2: no customer cash handling until AML module completed (14 days),Prerequisite check,PRC-01 §6.2 (safety),Practical must be on a training drawer or scheduled after AML; flag sequence for review.
